Postal Code,Name,Poverty Estimate,Poverty Percent
IL,Clinton County,"2,501",7.1
IL,Coles County,"8,284",17.5
IL,Cook County,"646,192",12.9
IL,Crawford County,"1,876",11.0
IL,Cumberland County,931,8.9
IL,DeKalb County,"10,691",10.8
IL,De Witt County,"1,489",9.9
IL,Douglas County,"1,576",8.2
IL,DuPage County,"53,259",5.9
IL,Edgar County,"1,933",11.7
IL,Edwards County,676,10.7
IL,Effingham County,"3,128",9.3
IL,Fayette County,"2,884",14.7
IL,Ford County,"1,180",9.5
IL,Franklin County,"5,795",15.5
IL,Fulton County,"4,091",13.2
IL,Gallatin County,743,15.6
IL,Greene County,"1,641",13.3
IL,Grundy County,"3,009",5.9
IL,Hamilton County,"1,040",13.0
IL,Hancock County,"1,918",11.2
IL,Hardin County,684,18.0
IL,Henderson County,687,10.6
IL,Henry County,"4,583",9.6
IL,Iroquois County,"2,923",11.2
IL,Jackson County,"9,154",17.2
IL,Jasper County,898,9.6
IL,Jefferson County,"4,369",12.5
IL,Jersey County,"1,775",8.5
IL,Jo Daviess County,"1,906",9.1
IL,Johnson County,"1,645",14.9
IL,Kane County,"38,218",7.3
IL,Kankakee County,"14,004",13.6
IL,Kendall County,"5,078",3.9
IL,Knox County,"6,027",13.4
IL,Lake County,"46,919",7.0
IL,La Salle County,"11,840",11.4
IL,Lawrence County,"2,147",16.5
IL,Lee County,"3,247",10.6
IL,Livingston County,"3,274",9.9
IL,Logan County,"2,812",11.6
IL,McDonough County,"4,363",16.8
IL,McHenry County,"18,998",6.3
IL,McLean County,"17,168",10.7
IL,Macon County,"12,674",12.8
IL,Macoupin County,"4,707",10.8
IL,Madison County,"28,469",11.0
IL,Marion County,"5,125",14.2
IL,Marshall County,"1,025",9.3
IL,Mason County,"1,728",13.4
IL,Massac County,"1,978",14.8
IL,Menard County,937,7.9
IL,Mercer County,"1,317",8.8
IL,Monroe County,"1,400",4.1
IL,Montgomery County,"3,436",13.5
IL,Morgan County,"3,755",12.4
IL,Moultrie County,"1,265",9.1
IL,Ogle County,"4,132",8.3
IL,Peoria County,"24,583",14.2
IL,Perry County,"2,732",15.1
IL,Piatt County,"1,034",6.4
IL,Pike County,"1,983",13.5
IL,Pope County,630,15.6
IL,Pulaski County,"1,056",20.4
IL,Putnam County,413,7.3
IL,Randolph County,"3,251",12.0
IL,Richland County,"1,794",11.9
IL,Rock Island County,"18,365",13.5
IL,St. Clair County,"35,007",13.8
IL,Saline County,"3,414",15.3
IL,Sangamon County,"24,310",12.8
IL,Schuyler County,778,11.7
IL,Scott County,525,10.8
IL,Shelby County,"1,879",8.9
IL,Stark County,558,10.8
IL,Stephenson County,"4,794",11.2
IL,Tazewell County,"9,695",7.6
IL,Union County,"2,282",14.0
IL,Vermilion County,"13,397",18.6
IL,Wabash County,"1,295",11.7
IL,Warren County,"1,670",10.7
IL,Washington County,"1,030",7.6
IL,Wayne County,"2,052",12.9
IL,White County,"1,993",15.4
IL,Whiteside County,"4,872",9.1
IL,Will County,"48,881",7.2
IL,Williamson County,"8,914",13.9
IL,Winnebago County,"40,305",14.6
IL,Woodford County,"2,281",6.2
IN,Indiana,"760,167",11.6
IN,Adams County,"4,154",11.8
IN,Allen County,"42,833",11.4
IN,Bartholomew County,"7,566",9.1
IN,Benton County,924,10.7
IN,Blackford County,"1,555",13.4
IN,Boone County,"3,547",5.2
IN,Brown County,"1,473",9.9
IN,Carroll County,"1,567",7.8
IN,Cass County,"3,912",10.7
IN,Clark County,"10,131",8.6
IN,Clay County,"2,535",9.8
IN,Clinton County,"3,124",10.0
IN,Crawford County,"1,646",15.6
IN,Daviess County,"3,582",10.9
IN,Dearborn County,"3,813",7.8
IN,Decatur County,"2,620",10.0
IN,De Kalb County,"3,779",8.8
IN,Delaware County,"20,399",19.4
IN,Dubois County,"2,799",6.7
IN,Elkhart County,"19,761",9.8
IN,Fayette County,"3,031",13.5
IN,Floyd County,"8,922",11.5
IN,Fountain County,"1,781",10.9
IN,Franklin County,"1,732",7.7
IN,Fulton County,"2,364",12.0
IN,Gibson County,"3,050",9.3
IN,Grant County,"10,081",16.7
IN,Greene County,"3,569",11.2
IN,Hamilton County,"14,489",4.2
IN,Hancock County,"4,018",5.1
IN,Harrison County,"3,544",8.8
IN,Hendricks County,"8,692",5.2
IN,Henry County,"4,811",10.8
IN,Howard County,"9,390",11.5
IN,Huntington County,"3,187",9.1
IN,Jackson County,"4,489",10.3
IN,Jasper County,"2,697",8.3
IN,Jay County,"2,795",13.9
IN,Jefferson County,"3,798",12.7
IN,Jennings County,"2,941",10.8
IN,Johnson County,"10,537",6.7
IN,Knox County,"5,506",15.9
IN,Kosciusko County,"6,343",8.2
IN,Lagrange County,"3,498",8.8
IN,Lake County,"75,936",15.8
IN,La Porte County,"12,524",12.1
IN,Lawrence County,"5,275",11.8
IN,Madison County,"14,937",12.1
IN,Marion County,"135,820",14.4
IN,Marshall County,"4,230",9.3
IN,Martin County,"1,108",11.2
IN,Miami County,"4,173",13.1
IN,Monroe County,"24,316",18.2
IN,Montgomery County,"4,015",10.8
IN,Morgan County,"5,939",8.5
IN,Newton County,"1,434",10.5
IN,Noble County,"4,662",9.9
IN,Ohio County,570,9.8
IN,Orange County,"2,513",13.0
IN,Owen County,"2,406",11.7
IN,Parke County,"2,184",14.3
IN,Perry County,"2,160",12.3
IN,Pike County,"1,182",9.7
IN,Porter County,"14,436",8.6
IN,Posey County,"2,327",9.3
IN,Pulaski County,"1,360",11.2
IN,Putnam County,"3,672",11.3
IN,Randolph County,"2,944",12.4
IN,Ripley County,"2,658",9.5
IN,Rush County,"1,582",9.7
IN,St. Joseph County,"33,070",12.7
IN,Scott County,"3,244",13.9
IN,Shelby County,"4,149",9.4
IN,Spencer County,"1,574",7.9
IN,Starke County,"3,255",14.2
IN,Steuben County,"3,210",9.6
IN,Sullivan County,"2,823",15.5
IN,Switzerland County,"1,485",14.0
IN,Tippecanoe County,"28,815",16.1
IN,Tipton County,"1,093",7.3
IN,Union County,706,10.0
IN,Vanderburgh County,"25,669",14.6
IN,Vermillion County,"1,795",11.9
IN,Vigo County,"20,134",20.7
IN,Wabash County,"3,075",10.6
IN,Warren County,655,8.1
IN,Warrick County,"3,990",6.4
IN,Washington County,"3,722",13.4
IN,Wayne County,"9,531",15.1
IN,Wells County,"2,254",8.2
IN,White County,"2,147",9.0
IN,Whitley County,"2,426",7.2
IA,Iowa,"313,752",10.2
IA,Adair County,741,10.8
IA,Adams County,386,10.8
IA,Allamakee County,"1,454",10.9
IA,Appanoose County,"1,791",14.6
IA,Audubon County,516,9.6
IA,Benton County,"1,876",7.5
IA,Black Hawk County,"15,410",12.2
IA,Boone County,"1,762",6.9
IA,Bremer County,"1,323",5.6
IA,Buchanan County,"1,736",8.3
IA,Buena Vista County,"1,723",9.1
IA,Butler County,"1,184",8.4
IA,Calhoun County,876,10.0
IA,Carroll County,"1,373",7.0
IA,Cass County,"1,349",10.8
IA,Cedar County,"1,326",7.3
IA,Cerro Gordo County,"4,357",10.6
IA,Cherokee County,975,9.0
IA,Chickasaw County,978,8.3
IA,Clarke County,"1,021",11.1
IA,Clay County,"1,275",8.1
IA,Clayton County,"1,769",10.4
IA,Clinton County,"5,717",12.5
IA,Crawford County,"2,069",12.5
IA,Dallas County,"4,207",4.4
IA,Davis County,"1,044",11.7
IA,Decatur County,"1,201",16.9
IA,Delaware County,"1,412",8.4
IA,Des Moines County,"4,953",13.0
IA,Dickinson County,"1,158",6.7
IA,Dubuque County,"8,322",8.9
IA,Emmet County,878,10.2
IA,Fayette County,"2,174",11.8
IA,Floyd County,"1,421",9.3
IA,Franklin County,"1,026",10.5
IA,Fremont County,601,9.1
IA,Greene County,932,10.7
IA,Grundy County,666,5.5
IA,Guthrie County,904,8.5
IA,Hamilton County,"1,164",8.1
IA,Hancock County,837,8.1
IA,Hardin County,"1,520",9.6
IA,Harrison County,"1,129",8.3
IA,Henry County,"1,948",10.8
IA,Howard County,942,10.5
IA,Humboldt County,823,8.8
IA,Ida County,690,10.3
IA,Iowa County,"1,013",6.4
IA,Jackson County,"2,156",11.4
IA,Jasper County,"2,999",8.5
IA,Jefferson County,"2,487",14.8
IA,Johnson County,"20,522",14.1
IA,Jones County,"1,913",9.9
IA,Keokuk County,"1,360",13.7
IA,Kossuth County,"1,439",10.0
IA,Lee County,"3,689",11.5
IA,Linn County,"18,011",8.1
IA,Louisa County,989,9.1
IA,Lucas County,"1,140",13.5
IA,Lyon County,726,6.3
IA,Madison County,"1,218",7.5
IA,Mahaska County,"2,183",10.2
IA,Marion County,"2,562",8.0
IA,Marshall County,"3,849",10.1
IA,Mills County,"1,186",8.3
IA,Mitchell County,929,8.9
IA,Monona County,922,11.0
IA,Monroe County,868,11.4
IA,Montgomery County,"1,125",11.6
IA,Muscatine County,"4,258",10.2
IA,O'Brien County,"1,117",8.4
IA,Osceola County,464,7.9
IA,Page County,"1,785",13.2
IA,Palo Alto County,817,9.5
IA,Plymouth County,"1,497",6.0
IA,Pocahontas County,662,10.2
IA,Polk County,"55,560",11.5
IA,Pottawattamie County,"8,407",9.2
IA,Poweshiek County,"1,945",11.6
IA,Ringgold County,615,13.3
IA,Sac County,987,10.5
IA,Scott County,"20,606",12.1
IA,Shelby County,934,8.3
IA,Sioux County,"2,114",6.5
IA,Story County,"10,920",12.4
IA,Tama County,"1,772",10.8
IA,Taylor County,634,10.5
IA,Union County,"1,422",12.1
IA,Van Buren County,"1,013",14.4
IA,Wapello County,"5,256",15.5
IA,Warren County,"2,497",4.9
IA,Washington County,"1,526",7.1
IA,Wayne County,822,13.0
IA,Webster County,"4,122",12.4
IA,Winnebago County,905,9.3
IA,Winneshiek County,"1,645",9.2
IA,Woodbury County,"11,311",11.3
IA,Worth County,616,8.5
IA,Wright County,"1,302",10.7
KS,Kansas,"300,931",10.6
KS,Allen County,"1,728",14.5
KS,Anderson County,991,12.7
KS,Atchison County,"1,945",13.1
KS,Barber County,518,12.0
KS,Barton County,"3,159",12.7
KS,Bourbon County,"2,016",14.5
KS,Brown County,"1,221",13.0
KS,Butler County,"5,576",8.7
KS,Chase County,246,10.1
KS,Chautauqua County,574,18.3
KS,Cherokee County,"2,779",14.3
KS,Cheyenne County,299,11.8
KS,Clark County,209,11.0
KS,Clay County,767,9.8
KS,Cloud County,990,12.1
KS,Coffey County,770,9.6
KS,Comanche County,180,11.2
KS,Cowley County,"4,564",14.0
KS,Crawford County,"6,118",16.6
KS,Decatur County,333,12.4
KS,Dickinson County,"1,760",9.8
KS,Doniphan County,906,12.9
KS,Douglas County,"13,420",11.8
KS,Edwards County,293,10.8
KS,Elk County,372,15.1
KS,Ellis County,"4,397",16.0
KS,Ellsworth County,535,10.6
KS,Finney County,"4,290",12.2
KS,Ford County,"3,323",10.3
KS,Franklin County,"2,231",8.9
KS,Geary County,"3,914",12.5
KS,Gove County,258,10.1
KS,Graham County,294,12.5
KS,Grant County,705,10.1
KS,Gray County,409,7.0
KS,Greeley County,117,10.0
KS,Greenwood County,730,12.7
KS,Hamilton County,251,10.4
KS,Harper County,682,13.2
KS,Harvey County,"3,049",9.3
KS,Haskell County,396,10.2
KS,Hodgeman County,159,9.1
KS,Jackson County,"1,212",9.3
KS,Jefferson County,"1,344",7.2
KS,Jewell County,364,13.0
KS,Johnson County,"27,345",4.6
KS,Kearny County,343,9.4
KS,Kingman County,662,9.8
KS,Kiowa County,282,12.3
KS,Labette County,"2,677",14.0
KS,Lane County,144,9.6
KS,Leavenworth County,"6,425",8.5
KS,Lincoln County,371,12.7
KS,Linn County,"1,197",12.5
KS,Logan County,242,9.1
KS,Lyon County,"3,964",12.6
KS,McPherson County,"2,123",7.7
KS,Marion County,"1,104",10.1
KS,Marshall County,819,8.7
KS,Meade County,363,9.3
KS,Miami County,"2,540",7.6
KS,Mitchell County,559,10.0
KS,Montgomery County,"5,388",17.8
KS,Morris County,577,10.5
KS,Morton County,295,12.1
KS,Nemaha County,817,8.3
KS,Neosho County,"2,125",13.8
KS,Ness County,257,9.6
KS,Norton County,583,12.9
KS,Osage County,"1,569",10.1
KS,Osborne County,389,11.7
KS,Ottawa County,557,10.0
KS,Pawnee County,797,14.9
KS,Phillips County,553,10.9
KS,Pottawatomie County,"1,675",6.9
KS,Pratt County,833,9.6
KS,Rawlins County,273,11.1
KS,Reno County,"6,176",10.6
KS,Republic County,438,9.9
KS,Rice County,895,10.3
KS,Riley County,"12,336",19.2
KS,Rooks County,457,9.6
KS,Rush County,321,11.2
KS,Russell County,866,12.9
KS,Saline County,"5,124",9.8
KS,Scott County,339,7.3
KS,Sedgwick County,"68,637",13.4
KS,Seward County,"2,355",11.5
KS,Shawnee County,"18,039",10.5
KS,Sheridan County,260,10.5
KS,Sherman County,733,13.0
KS,Smith County,356,10.3
KS,Stafford County,435,11.0
KS,Stanton County,196,10.2
KS,Stevens County,516,9.7
KS,Sumner County,"2,502",11.3
KS,Thomas County,664,9.1
KS,Trego County,279,10.4
KS,Wabaunsee County,574,8.5
KS,Wallace County,190,12.5
KS,Washington County,524,9.9
KS,Wichita County,216,10.6
KS,Wilson County,"1,172",14.3
KS,Woodson County,415,14.0
KS,Wyandotte County,"27,673",16.9
KY,Kentucky,"647,158",14.9
KY,Adair County,"3,979",22.1
KY,Allen County,"3,221",15.3
KY,Anderson County,"2,271",10.0
KY,Ballard County,"1,080",14.2
KY,Barren County,"7,516",17.3
KY,Bath County,"2,769",22.5
KY,Bell County,"7,293",29.8
KY,Boone County,"8,752",6.5
KY,Bourbon County,"2,752",14.1
KY,Boyd County,"7,047",15.8
KY,Boyle County,"3,783",14.0
KY,Bracken County,"1,083",13.2
KY,Breathitt County,"3,426",27.9
KY,Breckinridge County,"3,437",17.1
KY,Bullitt County,"7,053",8.7
KY,Butler County,"2,129",17.1
KY,Caldwell County,"1,914",15.3
KY,Calloway County,"5,609",15.6
KY,Campbell County,"9,613",10.6
KY,Carlisle County,662,14.4
KY,Carroll County,"1,689",16.2
KY,Carter County,"4,780",18.5
KY,Casey County,"3,524",22.7
KY,Christian County,"10,996",16.9
KY,Clark County,"5,187",14.4
KY,Clay County,"6,711",37.3
KY,Clinton County,"2,134",21.5
KY,Crittenden County,"1,448",16.8
KY,Cumberland County,"1,348",21.0
KY,Daviess County,"13,239",13.4
KY,Edmonson County,"1,914",15.8
KY,Elliott County,"1,815",28.8
KY,Estill County,"2,874",20.6
KY,Fayette County,"45,575",14.6
KY,Fleming County,"2,125",14.6
KY,Floyd County,"9,755",28.3
KY,Franklin County,"6,341",12.8
KY,Fulton County,"1,385",25.2
KY,Gallatin County,"1,158",13.3
KY,Garrard County,"2,449",14.0
KY,Grant County,"3,177",12.8
KY,Graves County,"6,602",18.2
KY,Grayson County,"5,230",20.5
KY,Green County,"2,178",20.1
KY,Greenup County,"4,451",13.0
KY,Hancock County,"1,248",14.4
KY,Hardin County,"12,066",11.2
KY,Harlan County,"7,015",28.0
KY,Harrison County,"2,526",13.5
KY,Hart County,"4,122",22.1
KY,Henderson County,"5,862",13.4
KY,Henry County,"2,257",14.2
KY,Hickman County,864,20.9
KY,Hopkins County,"7,860",18.1
KY,Jackson County,"3,166",24.0
KY,Jefferson County,"85,737",11.4
KY,Jessamine County,"5,489",10.5
KY,Johnson County,"4,814",22.5
KY,Kenton County,"18,156",11.0
KY,Knott County,"3,821",27.7
KY,Knox County,"8,409",27.8
KY,Larue County,"2,064",14.7
KY,Laurel County,"10,807",17.9
KY,Lawrence County,"3,400",22.3
KY,Lee County,"2,009",32.1
KY,Leslie County,"2,421",25.8
KY,Letcher County,"5,106",24.4
KY,Lewis County,"2,892",22.2
KY,Lincoln County,"4,434",18.4
KY,Livingston County,"1,251",14.0
KY,Logan County,"4,084",15.1
KY,Lyon County,"1,009",14.4
KY,McCracken County,"9,974",15.5
KY,McCreary County,"5,567",36.2
KY,McLean County,"1,214",13.6
KY,Madison County,"13,550",15.5
KY,Magoffin County,"3,654",30.9
KY,Marion County,"2,951",15.7
KY,Marshall County,"3,165",10.3
KY,Martin County,"3,073",31.9
KY,Mason County,"2,613",15.7
KY,Meade County,"3,272",11.6
KY,Menifee County,"1,452",22.7
KY,Mercer County,"2,843",13.1
KY,Metcalfe County,"2,119",21.4
KY,Monroe County,"2,328",22.5
KY,Montgomery County,"4,337",15.7
KY,Morgan County,"2,764",24.5
KY,Muhlenberg County,"4,860",16.9
KY,Nelson County,"4,228",9.2
KY,Nicholas County,"1,195",16.8
KY,Ohio County,"3,513",15.0
KY,Oldham County,"3,143",5.0
KY,Owen County,"1,657",15.1
KY,Owsley County,"1,293",30.6
KY,Pendleton County,"1,963",13.6
KY,Perry County,"5,448",22.0
KY,Pike County,"13,151",23.7
KY,Powell County,"2,444",20.5
KY,Pulaski County,"12,308",19.1
KY,Robertson County,371,17.9
KY,Rockcastle County,"3,669",22.4
KY,Rowan County,"5,265",24.4
KY,Russell County,"3,208",18.1
KY,Scott County,"4,545",8.0
KY,Shelby County,"4,066",8.4
KY,Simpson County,"2,194",12.0
KY,Spencer County,"1,328",6.8
KY,Taylor County,"3,866",15.9
KY,Todd County,"2,111",17.3
KY,Trigg County,"2,455",16.7
KY,Trimble County,"1,028",12.2
KY,Union County,"2,486",17.5
KY,Warren County,"23,887",18.7
KY,Washington County,"1,705",14.2
KY,Wayne County,"4,663",23.6
KY,Webster County,"1,952",15.6
KY,Whitley County,"7,463",21.7
KY,Wolfe County,"2,062",29.7
KY,Woodford County,"2,389",9.1
LA,Louisiana,"802,040",17.8
LA,Acadia Parish,"12,580",20.7
LA,Allen Parish,"4,474",21.1
LA,Ascension Parish,"12,284",9.6
LA,Assumption Parish,"3,382",15.8
LA,Avoyelles Parish,"7,892",21.6
LA,Beauregard Parish,"5,288",14.5
LA,Bienville Parish,"2,882",22.8
LA,Bossier Parish,"22,118",17.8
LA,Caddo Parish,"48,267",20.9
LA,Calcasieu Parish,"33,070",16.6
LA,Caldwell Parish,"1,974",21.4
LA,Cameron Parish,910,13.1
LA,Catahoula Parish,"2,369",28.4
LA,Claiborne Parish,"4,001",31.9
LA,Concordia Parish,"4,977",28.6
LA,De Soto Parish,"5,429",19.8
LA,East Baton Rouge Parish,"70,357",16.4
LA,East Carroll Parish,"2,069",37.6
LA,East Feliciana Parish,"3,268",19.9
LA,Evangeline Parish,"7,791",24.5
LA,Franklin Parish,"4,589",24.1
LA,Grant Parish,"3,493",18.2
LA,Iberia Parish,"15,248",22.5
LA,Iberville Parish,"6,695",23.7
LA,Jackson Parish,"3,034",20.9
LA,Jefferson Parish,"68,914",16.1
LA,Jefferson Davis Parish,"5,370",17.6
LA,Lafayette Parish,"39,122",16.2
LA,Lafourche Parish,"13,907",14.5
LA,La Salle Parish,"2,375",17.3
LA,Lincoln Parish,"9,058",21.7
LA,Livingston Parish,"16,672",11.7
LA,Madison Parish,"3,042",33.6
LA,Morehouse Parish,"5,457",23.3
LA,Natchitoches Parish,"7,705",21.7
LA,Orleans Parish,"79,419",21.1
LA,Ouachita Parish,"34,803",23.7
LA,Plaquemines Parish,"3,797",16.6
LA,Pointe Coupee Parish,"3,704",17.3
LA,Rapides Parish,"23,284",18.7
LA,Red River Parish,"1,919",23.7
LA,Richland Parish,"4,281",22.5
LA,Sabine Parish,"5,146",22.1
LA,St. Bernard Parish,"10,053",21.3
LA,St. Charles Parish,"5,888",11.3
LA,St. Helena Parish,"2,256",22.7
LA,St. James Parish,"2,668",13.0
LA,St. John the Baptist Parish,"7,089",16.9
LA,St. Landry Parish,"18,143",22.6
LA,St. Martin Parish,"8,847",17.0
LA,St. Mary Parish,"9,368",19.8
LA,St. Tammany Parish,"26,239",10.0
LA,Tangipahoa Parish,"26,792",20.1
LA,Tensas Parish,"1,280",30.8
LA,Terrebonne Parish,"16,981",15.7
LA,Union Parish,"5,784",26.7
LA,Vermilion Parish,"9,052",15.4
LA,Vernon Parish,"7,145",16.1
LA,Washington Parish,"9,898",22.5
LA,Webster Parish,"7,231",19.7
LA,West Baton Rouge Parish,"3,823",14.6
LA,West Carroll Parish,"2,122",20.8
LA,West Feliciana Parish,"2,217",21.9
LA,Winn Parish,"2,744",22.6
ME,Maine,"139,614",10.6
ME,Androscoggin County,"12,326",11.7
ME,Aroostook County,"9,934",15.3
ME,Cumberland County,"24,812",8.6
ME,Franklin County,"3,713",12.9
ME,Hancock County,"5,586",10.3
ME,Kennebec County,"13,341",11.2
ME,Knox County,"3,927",10.2
ME,Lincoln County,"3,028",8.8
ME,Oxford County,"7,439",13.0
ME,Penobscot County,"17,558",12.1
ME,Piscataquis County,"2,433",14.6
ME,Sagadahoc County,"3,294",9.2
ME,Somerset County,"7,233",14.5
ME,Waldo County,"4,562",11.6
ME,Washington County,"3,738",12.0
ME,York County,"16,691",8.1
MD,Maryland,"533,561",9.0
MD,Allegany County,"9,197",14.7
MD,Anne Arundel County,"29,711",5.2
MD,Baltimore County,"71,471",8.9
MD,Calvert County,"4,911",5.3
MD,Caroline County,"4,072",12.4
MD,Carroll County,"8,614",5.2
MD,Cecil County,"8,994",8.8
MD,Charles County,"11,956",7.4
MD,Dorchester County,"4,657",14.9
MD,Frederick County,"16,024",6.2
MD,Garrett County,"3,633",12.8
MD,Harford County,"15,611",6.2
MD,Howard County,"17,817",5.5
MD,Kent County,"2,134",12.0
MD,Montgomery County,"70,020",6.7
MD,Prince George's County,"84,663",9.5
MD,Queen Anne's County,"3,497",6.9
MD,St. Mary's County,"8,170",7.3
MD,Somerset County,"4,461",22.2
MD,Talbot County,"3,497",9.6
MD,Washington County,"17,632",12.3
MD,Wicomico County,"14,105",14.2
MD,Worcester County,"6,036",11.7
MD,Baltimore city,"112,678",20.0
MA,Massachusetts,"628,899",9.4
MA,Barnstable County,"16,203",7.7
MA,Berkshire County,"11,917",10.0
MA,Bristol County,"55,797",10.1
MA,Dukes County,"1,299",7.5
MA,Essex County,"69,830",9.0
MA,Franklin County,"7,423",10.7
MA,Hampden County,"64,583",14.3
MA,Hampshire County,"12,910",9.3
MA,Middlesex County,"110,410",7.1
MA,Nantucket County,596,5.3
MA,Norfolk County,"40,721",5.9
MA,Plymouth County,"36,890",7.2
MA,Suffolk County,"124,289",16.5
MA,Worcester County,"76,029",9.5
MI,Michigan,"1,232,948",12.6
MI,Alcona County,"1,458",14.0
MI,Alger County,978,12.1
MI,Allegan County,"8,552",7.3
MI,Alpena County,"4,334",15.6
MI,Antrim County,"2,625",11.3
MI,Arenac County,"1,888",12.8
MI,Baraga County,911,12.7
MI,Barry County,"4,668",7.6
MI,Bay County,"12,891",12.7
